"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"89","27515599999","189.58","55.972642","37.414589","1990-01-01","2019-12-31",-21,-22,-14,-4,1,6,10,7,2,-4,-13,-18
"91","27595099999","126.18","55.606186","49.278728","1990-01-01","2019-12-31",-25.11,-25,-16.78,-4,1.5,7,10,8,2,-3.78,-15.22,-23
"93","28440099999","232.86","56.743108","60.802728","1990-01-01","2019-12-31",-30,-28.78,-20.22,-9,-2,4,7,5,-1,-7,-21,-27
"95","28698099999","94.79","54.967042","73.310514","1990-01-01","2019-12-31",-32.89,-30,-22,-8.39,-1,5.11,8.11,5.78,-0.5,-7.11,-23,-30
"97","29634099999","111.25","55.012622","82.650656","1990-01-01","2019-12-31",-34.28,-30,-23,-8,-1.5,5.61,9,5,-1,-8,-24.61,-32
"99","29846099999","308","53.7333333","87.1833333","1990-01-01","2019-12-31",-32,-28.5,-20,-8,-1.22,5.22,9.61,6,-0.39,-7.61,-22,-29
"101","30710099999","510.54","52.268028","104.388975","1990-01-01","2019-12-31",-35,-31,-24,-10,-3,3,7.78,5,-2.89,-12,-26,-32
"103","30758099999","692.5","52.026317","113.305556","1990-01-01","2019-12-31",-38.72,-35,-26.61,-12.22,-4,4,8.22,4.78,-4,-14.22,-28.78,-36
"105","31735099999","74.98","48.528044","135.188361","1990-01-01","2019-12-31",-32,-28,-20.39,-6,1.28,7,12.72,11,2.78,-6,-20.22,-29.5
"107","32150099999","17.98","46.888672","142.717531","1990-01-01","2019-12-31",-28,-28,-21,-8,-1.5,3,8,7.78,1,-5,-14,-22
"109","32540099999","39.92","53.167889","158.453669","1990-01-01","2019-12-31",-21,-21,-16,-8,-2,3,7,7,1,-5,-13,-20
"111","33345099999","178.61","50.401944","30.451111","1990-01-01","2019-12-31",-14.89,-15,-8,0,5.11,9.5,12,11,5,-1.78,-7,-12.11
"113","33837099999","52.42","46.426767","30.676464","1990-01-01","2019-12-31",-12,-11,-5,1,7,12,14,13.78,7,1,-4,-9.39
"115","34122099999","156.66","51.814211","39.229589","1990-01-01","2019-12-31",-22,-22,-14,-3,3,7,10.39,8,3,-3,-11,-14
"117","34560099999","146.91","48.782528","44.345544","1990-01-01","2019-12-31",-20.22,-20.22,-11,-1,4.39,9.78,12.89,10.78,4.28,-2.61,-11,-18
"119","34861099999","152.7","46.3666666","44.3333333","1990-01-01","2019-12-31",-15,-16,-6,1,8,13,16.39,14,7.61,0,-8,-12.28
"121","35121099999","117.95","51.795786","55.456744","1990-01-01","2019-12-31",-28,-27,-20,-5.89,1.61,7,10,7.22,1,-5,-17,-25
"123","35188099999","355.09","51.022222","71.466944","1990-01-01","2019-12-31",-32,-31,-24,-8,0,7,9,6,-1,-8,-23,-29.61
"125","37549099999","427","41.75","44.7666666","1990-01-01","2019-12-31",-5,-4.28,-1,3.5,8.72,13.22,17,17,12,6.28,-0.5,-4
"127","37864099999","3.04","40.4675","50.046667","1990-01-01","2019-12-31",-2,-2,1,4.11,10.11,15.78,19,19,14.11,9,3.22,-0.11
"129","38001099999","22.25","43.86005","51.091978","1990-01-01","2019-12-31",-12,-12,-4,1,9,14,17,15,9,2,-5,-9
"131","38062099999","129","44.7666667","65.5333333","1990-01-01","2019-12-31",-22,-21,-10,-0.39,7.39,13.61,15.89,13,5,-2.22,-11.5,-19.39
"133","38264099999","77","42.45","59.6166666","1990-01-01","2019-12-31",-18.5,-15.72,-5.89,2,9.5,15.28,17.61,14.39,7,-0.78,-8.5,-14.72
"135","38353099999","760","42.85","74.5333333","1990-01-01","2019-12-31",-16.5,-14,-5.28,0.72,5.89,11.89,14.39,12.5,6,-0.39,-6.89,-14
"137","38457099999","431.9","41.257861","69.281186","1990-01-01","2019-12-31",-8.39,-8,-1.39,4.11,9.5,14.61,16.61,14.78,8.72,2.28,-2,-6.22
"139","38836099999","784.86","38.543333","68.825","1990-01-01","2019-12-31",-6.5,-5.78,0,5,9.61,13.61,15.61,13.61,9.22,3,-1,-5.78
"141","38880099999","210.92","37.986814","58.360967","1990-01-01","2019-12-31",-5.61,-5,0,6,12.72,18,20.28,18,11.39,4.5,-1,-5
"143","40025099999","47.85","35.401094","35.948681","1990-01-01","2019-12-31",2.5,3.39,6,9,12.5,16.11,19.39,21,17.78,13,8,4
"145","40180099999","41.14","32.011389","34.886667","1990-01-01","2019-12-31",5,5.5,7.39,10,13.39,17.72,20.39,21,19.61,15.78,10.39,6.61
"147","40437099999","624.53","24.95764","46.698776","1990-01-01","2019-12-31",3,4.89,9,14.78,20.22,23.39,24.5,24.11,20.61,16,9.39,4.72
"149","40582099999","62.78","29.226567","47.968928","1990-01-01","2019-12-31",2.11,3.39,8.89,14.89,21,25.11,27.5,26.61,22.5,17.22,8.61,3.5
"155","40738099999","-7.31","36.909381","54.401339","1990-01-01","2019-12-31",-1.78,-1,1.78,5.89,12,17,21,20.61,16,9,3,-0.61
"157","40745099999","994.56","36.235195","59.640972","1990-01-01","2019-12-31",-7.39,-6,-1.61,4,10,15.61,18.22,16,10,3.78,-1.78,-5
"159","40754099999","1207.61","35.689167","51.313416","1990-01-01","2019-12-31",-3.39,-2.22,1,7,13,18,21.39,21.39,17,10,2.78,-1
"161","40800099999","1545.94","32.750721","51.861694","1990-01-01","2019-12-31",-10,-8,-3,3,8,14,16,13,10,4,-4,-8
"163","40848099999","1499.61","29.539333","52.589474","1990-01-01","2019-12-31",-3.78,-2,1.61,6.39,11.61,16,19,17.61,13,7.78,0.61,-2.39
"165","40856099999","1377.69","29.476331","60.906825","1990-01-01","2019-12-31",-5.39,-3.78,2,7.78,13.39,16.39,17.89,15,10.39,5.61,-1.22,-5.61
"167","41024099999","14.63","21.679564","39.156536","1990-01-01","2019-12-31",15,15,16,18.5,21,23,25,25,24.39,22,20,17
"169","41140099999","6.09","16.901111","42.585833","1990-01-01","2019-12-31",20,21,22,24.5,26.11,28,28,27,27,25,22.61,21
"171","41150099999","1.82","26.270834","50.63361","1990-01-01","2019-12-31",11,12.39,15,19.28,24.28,27.72,29.39,29.22,27.22,24,18.11,13.61
"173","41194099999","10.36","25.254997","55.364278","1990-01-01","2019-12-31",12.5,13,15,18,22.39,25.61,28,29,26.11,22.72,18,14.5
"175","41256099999","14.63","23.593278","58.284444","1990-01-01","2019-12-31",14.11,14.78,17,21,25.61,28,27.5,26,25,21.5,17.89,15
"177","41571099999","508.4","33.616653","73.099233","1990-01-01","2019-12-31",1,3.5,7.22,12.5,17.5,21,22,21.11,18.5,11.5,6,2
"179","41660099999","1600.2","30.251369","66.937764","1990-01-01","2019-12-31",-6,-4.5,0,5.5,11,15,19,16.5,9.5,2.5,-2.5,-6
"181","41675099999","121.92","30.203222","71.419111","1990-01-01","2019-12-31",3,5.5,11,15.72,22,25.5,26,25.61,23.28,15.5,9.28,4
"183","41780099999","30.48","24.906547","67.160797","1990-01-01","2019-12-31",9,10.5,15.39,20.5,25.5,27.28,26,25.22,24.5,19,13.89,10
